编号,武将名,皮肤名,语音台词
101101,黄盖,经典形象,HuangGaiPo_KuRouPo_01 请鞭笞我吧，公瑾！ | HuangGaiPo_KuRouPo_02 赴汤蹈火，在所不辞！ | HuangGaiPo_Dead 失血，过多了。 | HuangGaiPo_KuRouPo_01 请鞭笞我吧，公瑾！ | HuangGaiPo_KuRouPo_02 赴汤蹈火，在所不辞！ | HuangGaiPo_ZhaXiangPo_01 龙旗曳至，引军归降！ | HuangGaiPo_ZhaXiangPo_02 某，侍东吴三朝，竟为小辈所欺！ | HuangGaiPo_Dead 失血，过多了。 | HuangGaiPo_KuRouPo_01 请鞭笞我吧，公瑾！ | HuangGaiPo_KuRouPo_02 赴汤蹈火，在所不辞！ | HuangGaiPo_Dead 失血，过多了。
101201,周瑜,经典形象,spell55_1 汝等看好了。 | spell55_2 哈哈哈哈！ | spell56_1 挣扎吧，在血和暗的深渊里。 | spell56_2 痛苦吧，在仇与恨的地狱中。 | charDead_12 既生瑜，何生。 | spell55_1 汝等看好了。 | spell55_2 哈哈哈哈！ | spell56_1 挣扎吧，在血和暗的深渊里。 | spell56_2 痛苦吧，在仇与恨的地狱中。 | charDead_12 既生瑜，何生。
101301,大乔,经典形象,spell60_1 你累了。 | spell60_2 请休息吧。 | spell61_1 交给你了。 | spell61_2 你来嘛。 | charDead_13 伯符，我去了。 | spell60_1 你累了。 | spell60_2 请休息吧。 | spell61_1 交给你了。 | spell61_2 你来嘛。 | charDead_13 伯符，我去了。 | spell60_1 你累了。 | spell60_2 请休息吧。 | spell61_1 交给你了。 | spell61_2 你来嘛。 | charDead_13 伯符，我去了。
101401,陆逊,经典形象,LuXun_Qianxun_01 儒生脱尘，不为贪逸淫乐之事。 | LuXun_Qianxun_02 谦谦君子，不饮盗泉之水。 | LuXun_Lianying_01 牌不是万能的，但是没牌是万万不能的。 | LuXun_Lianying_02 旧的不去，新的不来。 | LuXun_Dead 我还是太年轻了。 | LuXun_Qianxun_01 儒生脱尘，不为贪逸淫乐之事。 | LuXun_Qianxun_02 谦谦君子，不饮盗泉之水。 | LuXun_Lianying_01 牌不是万能的，但是没牌是万万不能的。 | LuXun_Lianying_02 旧的不去，新的不来。 | LuXun_Dead 我还是太年轻了。
101501,孙尚香,经典形象,spell41_1 看我的厉害。 | spell41_2 哼。 | spell69_1 夫君，身体要紧。 | spell69_2 他好，我也好。 | charDead_25 不，还不可以死。 | spell41_1 看我的厉害。 | spell41_2 哼。 | spell69_1 夫君，身体要紧。 | spell69_2 他好，我也好。 | charDead_25 不，还不可以死。 | spell41_1 看我的厉害。 | spell41_2 哼。 | spell69_1 夫君，身体要紧。 | spell69_2 他好，我也好。 | charDead_25 不，还不可以死。
101601,曹操,经典形象,spell42_1 宁教我负天下人，休教天下人负我！ | spell42_2 吾好梦中杀人！ | spell43_1 魏将何在？ | spell43_2 来人，护驾！ | charDead_15 霸业未成，未成啊！ | spell42_1 宁教我负天下人，休教天下人负我！ | spell42_2 吾好梦中杀人！ | spell43_1 魏将何在？ | spell43_2 来人，护驾！ | charDead_15 霸业未成，未成啊！ | spell42_1 宁教我负天下人，休教天下人负我！ | spell42_2 吾好梦中杀人！ | charDead_15 霸业未成，未成啊！
101701,司马懿,经典形象,spell47_1 下次注意点。 | spell47_2 出来混，早晚要还的！ | spell48_1 天命？哈哈哈。 | spell48_2 吾乃天命之子！ | charDead_16 难道真是天命难违？ | spell47_1 下次注意点。 | spell47_2 出来混，早晚要还的！ | spell48_1 天命？哈哈哈。 | spell48_2 吾乃天命之子！ | charDead_16 难道真是天命难违？ | spell47_1 下次注意点。 | spell47_2 出来混，早晚要还的！ | spell48_1 天命？哈哈哈。 | spell48_2 吾乃天命之子！ | charDead_16 难道真是天命难违？
101801,夏侯惇,经典形象,XiaHouDun_GangLie_01 鼠辈，竟敢伤我！ | XiaHouDun_GangLie_02 以彼之道，还施彼身！ | XiaHouDun_Dead 两，两边都看不见啦。 | XiaHouDun_GangLie_01 鼠辈，竟敢伤我！ | XiaHouDun_GangLie_02 以彼之道，还施彼身！ | XiaHouDun_QingJian_01 尽忠舍命，重义轻财！ | XiaHouDun_QingJian_02 无功不受禄，散财以犒军。 | XiaHouDun_Dead 两，两边都看不见啦。 | XiaHouDun_GangLie_01 鼠辈，竟敢伤我！ | XiaHouDun_GangLie_02 以彼之道，还施彼身！ | XiaHouDun_Dead 两，两边都看不见啦。
101901,张辽,经典形象,spell44_1 哼，没想到吧？ | spell44_2 拿来吧。 | charDead_18 真的没想到。 | spell44_1 哼，没想到吧？ | spell44_2 拿来吧。 | charDead_18 真的没想到。 | spell44_1 哼，没想到吧？ | spell44_2 拿来吧。 | charDead_18 真的没想到。
102001,许褚,经典形象,spell50_1 谁来与我大战三百回合！ | spell50_2 脱！ | charDead_19 冷，好冷啊。 | spell50_1 谁来与我大战三百回合！ | spell50_2 脱！ | charDead_19 冷，好冷啊。 | spell50_1 谁来与我大战三百回合！ | spell50_2 脱！ | charDead_19 冷，好冷啊。
102101,郭嘉,经典形象,spell51_1 也好。 | spell51_2 罢了。 | spell52_1 就这样吧。 | spell52_2 哦？ | charDead_20 咳咳，咳咳，咳咳咳咳。 | spell51_1 也好。 | spell51_2 罢了。 | spell52_1 就这样吧。 | spell52_2 哦？ | charDead_20 咳咳，咳咳，咳咳咳咳。 | spell51_1 也好。 | spell51_2 罢了。 | spell52_1 就这样吧。 | spell52_2 哦？ | charDead_20 咳咳，咳咳，咳咳咳咳。
102201,甄姬,经典形象,spell45_1 仿佛兮若青云之蔽月。 | spell45_2 飘摇兮若流风之回雪。 | spell46_1 凌波微步，罗袜生尘。 | spell46_2 体迅飞凫，飘忽若神。 | charDead_21 悼良会之永绝兮，哀一逝而异乡。 | spell45_1 仿佛兮若青云之蔽月。 | spell45_2 飘摇兮若流风之回雪。 | spell46_1 凌波微步，罗袜生尘。 | spell46_2 体迅飞凫，飘忽若神。 | charDead_21 悼良会之永绝兮，哀一逝而异乡。
102301,华佗,经典形象,HuaTuo_JiJiu_01 救人一命，胜造七级浮屠。 | HuaTuo_JiJiu_02 别紧张，有老夫呢。 | HuaTuo_QingNang_01 早睡早起，方能养生。 | HuaTuo_QingNang_02 越老越要补啊。 | HuaTuo_Dead 医者，不能自医啊。 | HuaTuo_JiJiu_01 救人一命，胜造七级浮屠。 | HuaTuo_JiJiu_02 别紧张，有老夫呢。 | HuaTuo_QingNang_01 早睡早起，方能养生。 | HuaTuo_QingNang_02 越老越要补啊。 | HuaTuo_Dead 医者，不能自医啊。 | HuaTuo_JiJiu_01 救人一命，胜造七级浮屠。 | HuaTuo_JiJiu_02 别紧张，有老夫呢。 | HuaTuo_ChuLi_01 药到病除。 | HuaTuo_ChuLi_02 医者父母心。 | HuaTuo_Dead 医者，不能自医啊。
102401,吕布,经典形象,LvBu_WuShuang_01 谁能挡我！ | LvBu_WuShuang_02 神挡杀神，佛挡杀佛！ | LvBu_Dead 不可能！ | LvBu_WuShuang_01 谁能挡我！ | LvBu_WuShuang_02 神挡杀神，佛挡杀佛！ | LvBu_LiYu_01 天下大乱，以利驭人自保尔。 | LvBu_LiYu_02 吾以利趋之，以财驭之。 | LvBu_Dead 不可能！
102501,貂蝉,经典形象,spell67_1 失礼了。 | spell67_2 羡慕吧。 | spell68_1 夫君，你要替妾身做主啊。 | spell68_2 额哼哼，哼哼。 | charDead_24 父亲大人，对不起。 | spell67_1 失礼了。 | spell67_2 羡慕吧。 | spell68_1 夫君，你要替妾身做主啊。 | spell68_2 额哼哼，哼哼。 | charDead_24 父亲大人，对不起。
102601,华雄,经典形象,HuaXiongBiao_YaoWu_01 大人有大量，不和你计较。 | HuaXiongBiao_YaoWu_02 哼！先让你尝点甜头。 | HuaXiongBiao_ShiZhan_01 还有谁敢来送死？ | HuaXiongBiao_ShiZhan_02 乡野村夫，也敢自称上将？ | HuaXiongBiao_Dead 这，怎么可能！ | HuaXiongBiao_YaoWu_01 大人有大量，不和你计较。 | HuaXiongBiao_YaoWu_02 哼！先让你尝点甜头。 | HuaXiongBiao_ShiZhan_01 还有谁敢来送死？ | HuaXiongBiao_ShiZhan_02 乡野村夫，也敢自称上将？ | HuaXiongBiao_Dead 这，怎么可能！
102701,黄忠,经典形象,spell71_1 中！ | spell71_2 百步穿杨！ | charDead_26 不得不服老了。 | spell71_1 中！ | spell71_2 百步穿杨！ | charDead_26 不得不服老了。
102801,魏延,经典形象,spell295_1 哼！也不看看我是何人！ | spell295_2 嗯哈哈哈哈哈！赢你还不容易！ | spell296_1 成王败寇，怎可有勇无谋？ | spell296_2 且不要因为暂时的得失而胆怯！ | charDead_27 奸贼！害我。 | spell295_1 哼！也不看看我是何人！ | spell295_2 嗯哈哈哈哈哈！赢你还不容易！ | charDead_27 奸贼！害我。
102901,夏侯渊,经典形象,spell73_1 取汝首级，犹如探囊取物！ | spell73_2 吾善于千里袭人！ | charDead_28 竟然，比我还，快。 | spell73_1 取汝首级，犹如探囊取物！ | spell73_2 吾善于千里袭人！ | charDead_28 竟然，比我还，快。
103001,曹仁,经典形象,spell370_1 坚守此地，不退半步！ | spell370_2 兵精粮足，守土一方！ | spell371_1 坚壁清野，以挫敌锐！ | spell371_2 化守为攻，出奇制胜！ | charDead_29 长江以南，再无王土已矣。 | spell370_1 坚守此地，不退半步！ | spell370_2 兵精粮足，守土一方！ | charDead_29 长江以南，再无王土已矣。
103101,小乔,经典形象,spell75_1 替我挡着！ | spell75_2 接着哦。 | charDead_30 公瑾，我先走一步。
103201,周泰,经典形象,spell466_1 战如熊虎，不惜躯命！ | spell466_2 哼！这点小伤算什么？ | spell467_1 百战之身，奋勇趋前！ | spell467_2 两肋插刀，愿付此躯！ | charDead_31 已经尽力啦。 | spell466_1 战如熊虎，不惜躯命！ | spell466_2 哼！这点小伤算什么？ | spell467_1 百战之身，奋勇趋前！ | spell467_2 两肋插刀，愿付此躯！ | charDead_31 已经尽力啦。
103301,张角,经典形象,XinZhangJiao_LeiJi_01 成为黄天之誓的祭品吧！ | XinZhangJiao_LeiJi_02 呼风唤雨，驱雷策电！ | XinZhangJiao_GuiDao_01 道势所向，皆由我控！ | XinZhangJiao_GuiDao_02 哼哼！天意如此！ | XinZhangJiao_HuangTian_01 苍天不复，黄天将替！ | XinZhangJiao_HuangTian_02 黄天立，民心顺，天下平！ | XinZhangJiao_Dead 黄天既负，苍生何存！ | XinZhangJiao_LeiJi_01 成为黄天之誓的祭品吧！ | XinZhangJiao_LeiJi_02 呼风唤雨，驱雷策电！ | XinZhangJiao_GuiDao_01 道势所向，皆由我控！ | XinZhangJiao_GuiDao_02 哼哼！天意如此！ | XinZhangJiao_Dead 黄天既负，苍生何存！
103401,于吉,经典形象,spell469_1 道法玄机，变幻莫测！ | spell469_2 如真似幻，扑朔迷离！ | charDead_2068 道法玄机，竟被参破。
103501,典韦,经典形象,spell91_1 吃我一戟！ | spell91_2 看我三步之内取你小命！ | charDead_34 主公！快走！ | spell91_1 吃我一戟！ | spell91_2 看我三步之内取你小命！ | charDead_34 主公！快走！
103601,荀彧,经典形象,spell92_1 此乃驱虎吞狼之计！ | spell92_2 借你之手，与他一搏吧！ | spell93_1 秉忠贞之志，守谦退之节！ | spell93_2 我，永不背弃！ | charDead_35 主公要臣死，臣，不得不死。 | spell92_1 此乃驱虎吞狼之计！ | spell92_2 借你之手，与他一搏吧！ | spell93_1 秉忠贞之志，守谦退之节！ | spell93_2 我，永不背弃！ | charDead_35 主公要臣死，臣，不得不死。
103701,庞统,经典形象,spell94_1 伤一敌可连其百！ | spell94_2 通通连起来吧！ | spell95_1 凤雏岂能消亡？ | spell95_2 浴火重生！ | charDead_36 看来我命中注定，将丧命于此。 | spell94_1 伤一敌可连其百！ | spell94_2 通通连起来吧！ | spell95_1 凤雏岂能消亡？ | spell95_2 浴火重生！ | charDead_36 看来我命中注定，将丧命于此。
103801,卧龙诸葛,经典形象,spell96_1 你可识得此阵？ | spell96_2 太极生两仪，两仪生四象，四象生八卦。 | spell97_1 燃烧吧。 | spell97_2 此火可助我军大获全胜！ | spell98_1 雕虫小技。 | spell98_2 你的计谋被识破了。 | charDead_37 我的计谋竟被。 | spell96_1 你可识得此阵？ | spell96_2 太极生两仪，两仪生四象，四象生八卦。 | spell97_1 燃烧吧。 | spell97_2 此火可助我军大获全胜！ | spell98_1 雕虫小技。 | spell98_2 你的计谋被识破了。 | charDead_37 我的计谋竟被。
103901,太史慈,经典形象,spell99_1 我当要替天行道！ | spell99_2 请助我一臂之力！ | charDead_38 大丈夫当带三尺之剑，立不世之功。 | spell99_1 我当要替天行道！ | spell99_2 请助我一臂之力！ | charDead_38 大丈夫当带三尺之剑，立不世之功。
104001,庞德,经典形象,spell364_1 你，可敢挡我！ | spell364_2 我要杀你们个片甲不留！ | charDead_39 四面都是水，我命休矣。 | spell364_1 你，可敢挡我！ | spell364_2 我要杀你们个片甲不留！ | charDead_39 四面都是水，我命休矣。
104101,颜良文丑,经典形象,spell101_1 吾乃河北上将颜良（文丑）是也！ | spell101_2 快来与我等决一死战！ | charDead_2049 这红脸长须大将是。 | spell101_1 吾乃河北上将颜良（文丑）是也！ | spell101_2 快来与我等决一死战！ | charDead_2049 这红脸长须大将是。
104201,袁绍,经典形象,YuanShao_LuanJi_01 弓箭手，准备放箭！ | YuanShao_LuanJi_02 全都去死吧！ | YuanShao_XueYi_01 崇王攘夷，生长尊贵。 | YuanShao_XueYi_02 衣冠华胄，宜蒙优免。 | YuanShao_Dead 老天不助我袁家啊！ | YuanShao_LuanJi_01 弓箭手，准备放箭！ | YuanShao_LuanJi_02 全都去死吧！ | YuanShao_Dead 老天不助我袁家啊！
104301,徐晃,经典形象,XuHuang_DuanLiang_01 人是铁，饭是钢。 | XuHuang_DuanLiang_02 截其源，断其粮，贼可擒也！ | XuHuang_JieZi_01 断粮道，毁辎行。 | XuHuang_JieZi_02 辎行千里，必有一失。 | XuHuang_Dead 一顿不吃，饿得慌。 | XuHuang_DuanLiang_01 人是铁，饭是钢。 | XuHuang_DuanLiang_02 截其源，断其粮，贼可擒也！ | XuHuang_Dead 一顿不吃，饿得慌。
104401,曹丕,经典形象,spell105_1 我的是我的，你的，还是我的。 | spell105_2 来！管杀还管埋！ | spell106_1 死罪可免，活罪难受！ | spell106_2 给我翻过来！ | spell107_1 千秋万载，一统江山！ | spell107_2 仙福永享，寿与天齐！ | charDead_43 子建，子建。
104501,孙坚,经典形象,spell108_1 以吾魂魄，保佑吾儿之基业。 | spell108_2 不诛此贼三族！则吾死不瞑目！ | charDead_44 有埋伏，呃，啊。 | spell108_1 以吾魂魄，保佑吾儿之基业。 | spell108_2 不诛此贼三族！则吾死不瞑目！ | charDead_44 有埋伏，呃，啊。
104601,董卓,经典形象,DongZhuo_JiuChi_01 嗯哼哼哼哼，好酒！好酒！ | DongZhuo_JiuChi_02 嗯哼，嗯，再来一壶。 | DongZhuo_RouLin_01 嘿嘿，食色，性也。 | DongZhuo_RouLin_02 嘿嘿嘿，美人，来，香一个。 | DongZhuo_BengHuai_01 嗯。 | DongZhuo_BengHuai_02 唉，我是不是该减肥了。 | DongZhuo_BaoNue_01 呵哈哈哈。 | DongZhuo_BaoNue_02 顺我者昌，逆我者亡！ | DongZhuo_Dead 汉室衰落，非我一人之罪。
104701,祝融,经典形象,spell113_1 大王，看我的！ | spell113_2 小小把戏。 | spell114_1 亮兵器吧。 | spell114_2 尝尝我飞刀的厉害！ | charDead_46 大王，我，先走一步了。 | spell113_1 大王，看我的！ | spell113_2 小小把戏。 | spell114_1 亮兵器吧。 | spell114_2 尝尝我飞刀的厉害！ | charDead_46 大王，我，先走一步了。
104801,孟获,经典形象,spell115_1 通通算我的。 | spell115_2 背黑锅我来，送死，你去！ | spell116_1 丞相助我！ | spell116_2 起！ | charDead_47 七纵之恩，来世再报了。 | spell115_1 通通算我的。 | spell115_2 背黑锅我来，送死，你去！ | spell116_1 丞相助我！ | spell116_2 起！ | charDead_47 七纵之恩，来世再报了。
104901,贾诩,经典形象,spell117_1 我要你三更死，谁敢留你到五更！ | spell117_2 神仙难救，神仙难救啊。 | spell118_1 嘿哼哼，坐山观虎斗！ | spell118_2 哭喊吧！哀求吧！挣扎吧！然后死吧！ | spell119_1 你奈我何？ | spell119_2 此计伤不到我。 | charDead_2050 我的时辰，也到了。 | spell117_1 我要你三更死，谁敢留你到五更！ | spell117_2 神仙难救，神仙难救啊。 | spell118_1 嘿哼哼，坐山观虎斗！ | spell118_2 哭喊吧！哀求吧！挣扎吧！然后死吧！ | spell119_1 你奈我何？ | spell119_2 此计伤不到我。 | charDead_2050 我的时辰，也到了。
105001,鲁肃,经典形象,spell120_1 拿去拿去，莫跟哥哥客气。 | spell120_2 来来来，见面分一半。 | spell121_1 合纵连横，方能以弱胜强。 | spell121_2 以和为贵，以和为贵。 | charDead_49 此联盟一破，吴蜀休矣。 | spell120_1 拿去拿去，莫跟哥哥客气。 | spell120_2 来来来，见面分一半。 | spell121_1 合纵连横，方能以弱胜强。 | spell121_2 以和为贵，以和为贵。 | charDead_49 此联盟一破，吴蜀休矣。
105101,张郃,经典形象,spell122_1 兵无常势，水无常形。 | spell122_2 用兵之道，变化万千。 | charDead_50 嗯啊，膝盖，中箭了，额，啊。 | spell122_1 兵无常势，水无常形。 | spell122_2 用兵之道，变化万千。 | charDead_50 嗯啊，膝盖，中箭了，额，啊。
105201,邓艾,经典形象,spell123_1 休养生息，备战待敌。 | spell123_2 锄禾日当午，汗滴禾下土。 | spell124_1 屯田日久，当建其功！ | spell124_2 开辟险路，奇袭敌军！ | spell139_1 攻其不备，出其不意！ | spell139_2 偷渡阴平，直取蜀汉！ | charDead_51 吾破蜀克敌，竟葬于奸贼之手。
105301,姜维,经典形象,JiangWei_TiaoXin_01 汝等小儿，可敢杀我？ | JiangWei_TiaoXin_02 贼将早降，可免一死。 | JiangWei_ZhiJi_01 先帝之志，丞相之托，不可忘矣。 | JiangWei_ZhiJi_02 丞相厚恩，维万死不能相报。 | JiangWei_GuanXing_01 继丞相之遗志，讨篡汉之逆贼！ | JiangWei_GuanXing_02 克复中原，指日可待！ | JiangWei_Dead 我计不成，乃天命也。
105401,刘禅,经典形象,spell127_1 嗯，打打杀杀真没意思。 | spell127_2 我爸爸是刘备！ | spell128_1 诶，这可如何是好啊。 | spell128_2 嗨，你办事儿，我放心。 | spell129_1 不装疯卖傻，岂能安然无恙？ | spell129_2 世人皆错看我，唉。 | spell32_3 我蜀汉岂无人乎？ | spell32_4 匡扶汉室，谁敢出战？ | charDead_53 别打脸，我投降还不行吗？ | spell127_1 嗯，打打杀杀真没意思。 | spell127_2 我爸爸是刘备！ | spell128_1 诶，这可如何是好啊。 | spell128_2 嗨，你办事儿，我放心。 | charDead_53 别打脸，我投降还不行吗？
105501,孙策,经典形象,SunCe_JiAng_01 江东子弟，何惧于天下！ | SunCe_JiAng_02 吾乃江东小霸王，孙伯符！ | SunCe_HunZi_01 愿承父志，与公瑾，共谋天下！ | SunCe_HunZi_02 父亲在上，魂佑江东；公瑾在旁，智定天下！ | SunCe_ZhiBa_01 我若怕你，非孙伯符也。 | SunCe_ZhiBa_02 是友是敌，一探便知。 | SunCe_YingZi_01 公瑾，助我决一死战！ | SunCe_YingZi_02 尔等看好了。 | SunCe_YingHun_01 父亲，助我背水一战！ | SunCe_YingHun_02 孙氏英烈，庇佑江东。 | SunCe_Dead 内事不决问张昭，外事不决问周瑜。
105601,张昭张纮,经典形象,spell133_1 请恕老臣直言！ | spell133_2 为臣者，当冒死以谏！ | spell134_1 今当稳固内政，以御外患！ | spell134_2 固国安邦，须当如是！ | charDead_55 竭力尽智，死而无憾。 | spell133_1 请恕老臣直言！ | spell133_2 为臣者，当冒死以谏！ | spell134_1 今当稳固内政，以御外患！ | spell134_2 固国安邦，须当如是！ | charDead_55 竭力尽智，死而无憾。
105701,左慈,经典形象,spell135_1 万物苍生，幻化由心。 | spell135_2 哼！肉眼凡胎，岂能窥视仙人变幻。 | spell136_1 幻幻无穷，生生不息。 | spell136_2 吐故纳新，师法天地。 | charDead_56 腾云跨风，飞升，太虚。
105801,蔡文姬,经典形象,spell137_1 制兹八拍兮拟排忧，何知曲成兮心转愁。 | spell137_2 悲歌可以当泣，远望可以当归。 | spell138_1 日东月西兮徒相望，不得相随兮空断肠。 | spell138_2 流落异乡愁断肠。 | charDead_57 人生几何时，怀忧终年岁。 | spell137_1 制兹八拍兮拟排忧，何知曲成兮心转愁。 | spell137_2 悲歌可以当泣，远望可以当归。 | spell138_1 日东月西兮徒相望，不得相随兮空断肠。 | spell138_2 流落异乡愁断肠。 | charDead_57 人生几何时，怀忧终年岁。
106001,刘备,界限突破,spell699_1 施仁布泽，乃我大汉立国之本！ | spell699_2 同心同德，救困扶危！ | spell32_5 哪位将军，替我拿下此贼！ | spell32_6 欺我军无人乎！？ | charDead_299 汉室未兴，祖宗未耀，朕实不忍此时西去。 | spell699_1 施仁布泽，乃我大汉立国之本！ | spell699_2 同心同德，救困扶危！ | spell32_5 哪位将军，替我拿下此贼！ | spell32_6 欺我军无人乎！？ | charDead_299 汉室未兴，祖宗未耀，朕实不忍此时西去。 | spell699_1 施仁布泽，乃我大汉立国之本！ | spell699_2 同心同德，救困扶危！ | charDead_299 汉室未兴，祖宗未耀，朕实不忍此时西去。
106101,关羽,界限突破,GuanYu_WuSheng_01 刀锋所向，战无不克！ | GuanYu_WuSheng_02 逆贼！哪里走！ | GuanYu_Dead 桃园一拜，恩义常在。 | GuanYu_YiJue_01 关某向来恩怨分明。 | GuanYu_YiJue_02 恩已断，义当绝。 | GuanYu_WuSheng_01 刀锋所向，战无不克！ | GuanYu_WuSheng_02 逆贼！哪里走！ | GuanYu_Dead 桃园一拜，恩义常在。 | GuanYu_WuSheng_01 刀锋所向，战无不克！ | GuanYu_WuSheng_02 逆贼！哪里走！ | GuanYu_Dead 桃园一拜，恩义常在。
106201,张飞,界限突破,ZhangFeiPo_PaoXiao_01 喝啊！ | ZhangFeiPo_PaoXiao_02 今，必斩汝马下！ | ZhangFeiPo_Dead 桃园一拜，此生无憾。 | ZhangFeiPo_PaoXiao_01 喝啊！ | ZhangFeiPo_PaoXiao_02 今，必斩汝马下！ | ZhangFeiPo_TiShenPo_01 欺我无谋，定要尔等血偿！ | ZhangFeiPo_TiShenPo_02 谁，还敢过来一战！？ | ZhangFeiPo_Dead 桃园一拜，此生无憾。 | ZhangFeiPo_PaoXiao_01 喝啊！ | ZhangFeiPo_PaoXiao_02 今，必斩汝马下！ | ZhangFeiPo_Dead 桃园一拜，此生无憾。
